OrphaCode,curie,label,descendent_OrphaCode,descendent_Name,genes_curie,genes_gene_symbol,genes_association_type,DisorderGeneAssociationStatus
213,GARD:0006236,Cystinosis,411634,Juvenile nephropathic cystinosis,HGNC:2518,CTNS,Disease-causing germline mutation(s) in,Assessed
93969,GARD:0003475,Myelomeningocele,268752,Thoracolumbosacral spina bifida cystica,HGNC:7432,MTHFD1,Major susceptibility factor in,Assessed
26791,GARD:0006523,Glutaric acidemia type II,394532,"Multiple acyl-CoA dehydrogenase deficiency, mild type",HGNC:29683,SLC25A32,Disease-causing germline mutation(s) in,Assessed
685,GARD:0006637,Hereditary spastic paraplegia,101001,Autosomal recessive spastic paraplegia type 21,HGNC:20373,SPG21,Disease-causing germline mutation(s) in,Assessed
182058,GARD:0012959,Primary orthostatic hypotension,2828,Young-onset Parkinson disease,HGNC:11503,SYNJ1,Disease-causing germline mutation(s) in,Assessed
69077,GARD:0007572,Rhabdoid tumor,231108,Familial rhabdoid tumor,HGNC:11103,SMARCB1,Disease-causing germline mutation(s) (loss of function) in,Assessed
408,GARD:0002807,Hyperglycerolemia,284411,"Glycerol kinase deficiency, juvenile form",HGNC:4289,GK,Disease-causing germline mutation(s) in,Assessed
220460,GARD:0008532,Attenuated familial adenomatous polyposis,480536,MSH3-related attenuated familial adenomatous polyposis,HGNC:7326,MSH3,Disease-causing germline mutation(s) (loss of function) in,Assessed
828,GARD:0010782,Stickler syndrome,250984,Autosomal recessive Stickler syndrome,HGNC:2186,COL11A1,Disease-causing germline mutation(s) in,Assessed
85458,GARD:0010266,Hereditary cerebral hemorrhage with amyloidosis,100006,"ABeta amyloidosis, Dutch type",HGNC:620,APP,Disease-causing germline mutation(s) in,Assessed
98085,GARD:0008538,"46, XY disorders of sexual development",96266,Leydig cell hypoplasia due to partial LH resistance,HGNC:6585,LHCGR,Disease-causing germline mutation(s) (loss of function) in,Assessed
2162,GARD:0006665,Holoprosencephaly,220386,Semilobar holoprosencephaly,HGNC:4318,GLI2,Disease-causing germline mutation(s) in,Assessed
1531,GARD:0006209,Craniosynostosis,3366,Isolated trigonocephaly,HGNC:23399,FREM1,Disease-causing germline mutation(s) in,Assessed
823,GARD:0007673,Spina bifida,268752,Thoracolumbosacral spina bifida cystica,HGNC:15511,VANGL2,Major susceptibility factor in,Assessed
710,GARD:0007380,Pfeiffer syndrome,93258,Pfeiffer syndrome type 1,HGNC:3688,FGFR1,Disease-causing germline mutation(s) in,Assessed
93548,GARD:0012736,Glomerular disease,536,Systemic lupus erythematosus,HGNC:11896,TNFAIP3,Major susceptibility factor in,Assessed
2671,GARD:0000102,Neu Laxova syndrome,583607,Neu-laxova syndrome due to 3-phosphoglycerate dehydrogenase deficiency,HGNC:8923,PHGDH,Disease-causing germline mutation(s) (loss of function) in,Assessed
253,GARD:0007687,Spondyloepiphyseal dysplasia,250984,Autosomal recessive Stickler syndrome,HGNC:2219,COL9A3,Disease-causing germline mutation(s) (loss of function) in,Assessed
506,GARD:0006877,Leigh syndrome,255241,Leigh syndrome with leukodystrophy,HGNC:16266,SLC19A3,Disease-causing germline mutation(s) in,Assessed
253,GARD:0007687,Spondyloepiphyseal dysplasia,459051,"Spondyloepiphyseal dysplasia, Stanescu type",HGNC:2200,COL2A1,Disease-causing germline mutation(s) in,Assessed
98277,GARD:0012758,Acute myeloid leukemia with recurrent genetic anomaly,402017,Acute myeloid leukemia with t(9;11)(p22;q23),HGNC:7132,KMT2A,Part of a fusion gene in,Assessed
247,GARD:0005847,Arrhythmogenic right ventricular cardiomyopathy,293910,"Familial isolated arrhythmogenic ventricular dysplasia, right dominant form",HGNC:2511,CTNNA3,Disease-causing germline mutation(s) in,Assessed
685,GARD:0006637,Hereditary spastic paraplegia,401849,Autosomal spastic paraplegia type 72,HGNC:17975,REEP2,Disease-causing germline mutation(s) (loss of function) in,Assessed
98634,GARD:0002978,Iridogoniodysgenesis type 1,488197,Familial progressive retinal dystrophy-iris coloboma-congenital cataract syndrome,HGNC:31582,MIR204,Disease-causing germline mutation(s) (gain of function) in,Assessed
2162,GARD:0006665,Holoprosencephaly,93925,Alobar holoprosencephaly,HGNC:11701,TDGF1,Disease-causing germline mutation(s) in,Assessed
513,GARD:0000522,Acute lymphoblastic leukemia,99861,Precursor T-cell acute lymphoblastic leukemia,HGNC:5041,HNRNPH1,Part of a fusion gene in,Assessed
68356,GARD:0006895,Leukodystrophy,280234,Null syndrome,HGNC:9086,PLP1,Disease-causing germline mutation(s) in,Assessed
2162,GARD:0006665,Holoprosencephaly,220386,Semilobar holoprosencephaly,HGNC:9585,PTCH1,Disease-causing germline mutation(s) in,Assessed
280886,GARD:0010941,Anterior uveitis,797,Sarcoidosis,HGNC:4948,HLA-DRB1,Major susceptibility factor in,Assessed
443909,GARD:0008533,Familial colorectal cancer,144,Lynch syndrome,HGNC:7329,MSH6,Disease-causing germline mutation(s) in,Assessed
519,GARD:0012757,Acute myeloid leukemia ,589595,Mixed phenotype acute leukemia with t(v;11q23.3),HGNC:3765,FLT3,Disease-causing somatic mutation(s) in,Assessed
823,GARD:0007673,Spina bifida,268748,Total spina bifida cystica,HGNC:15511,VANGL2,Major susceptibility factor in,Assessed
399786,GARD:0012513,Male infertility with spermatogenesis disorder due to single gene mutation ,399808,Male infertility with teratozoospermia due to single gene mutation,HGNC:23044,NANOS1,Disease-causing germline mutation(s) in,Assessed
137,GARD:0010307,Congenital disorders of glycosylation,370924,STT3B-CDG,HGNC:30611,STT3B,Disease-causing germline mutation(s) in,Assessed
304,GARD:0010752,Epidermolysis bullosa simplex,412189,Epidermolysis bullosa simplex due to exophilin 5 deficiency,HGNC:30578,EXPH5,Disease-causing germline mutation(s) in,Assessed
253,GARD:0007687,Spondyloepiphyseal dysplasia,163649,"Spondyloepiphyseal dysplasia, Nishimura type",HGNC:31527,MIR140,Disease-causing germline mutation(s) in,Assessed
443909,GARD:0008533,Familial colorectal cancer,144,Lynch syndrome,HGNC:11773,TGFBR2,Candidate gene tested in,Not yet assessed
823,GARD:0007673,Spina bifida,268770,Upper thoracic spina bifida cystica,HGNC:7432,MTHFD1,Major susceptibility factor in,Assessed
813,GARD:0004870,Russell-Silver syndrome,231144,Silver-Russell syndrome due to 11p15 microduplication,HGNC:5466,IGF2,Role in the phenotype of,Assessed
68356,GARD:0006895,Leukodystrophy,314918,Mild Canavan disease,HGNC:756,ASPA,Disease-causing germline mutation(s) (loss of function) in,Assessed
3394,GARD:0004898,Soft tissue sarcoma,99966,Atypical teratoid rhabdoid tumor,HGNC:11103,SMARCB1,Disease-causing somatic mutation(s) in,Assessed
98085,GARD:0008538,"46, XY disorders of sexual development",168563,"46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome",HGNC:2865,DHH,Disease-causing germline mutation(s) in,Assessed
79225,GARD:0007672,Sphingolipidosis,206448,Adult Krabbe disease,HGNC:4115,GALC,Disease-causing germline mutation(s) in,Assessed
289899,GARD:0009433,Organic acidemias,391428,"HSD10 disease, infantile type",HGNC:4800,HSD17B10,Disease-causing germline mutation(s) in,Assessed
263440,GARD:0010902,Neuroacanthocytosis,216873,Atypical pantothenate kinase-associated neurodegeneration,HGNC:15894,PANK2,Disease-causing germline mutation(s) in,Assessed
513,GARD:0009240,Childhood acute lymphoblastic leukemia,585877,B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormality,HGNC:4172,GATA3,Major susceptibility factor in,Assessed
280892,GARD:0006062,Choroiditis,797,Sarcoidosis,HGNC:4948,HLA-DRB1,Major susceptibility factor in,Assessed
182067,GARD:0006513,Glioma,251615,Pilomyxoid astrocytoma,HGNC:6407,KRAS,Disease-causing somatic mutation(s) in,Assessed
207015,GARD:0012733,Rare hereditary disease with peripheral neuropathy,255241,Leigh syndrome with leukodystrophy,HGNC:29666,MTFMT,Disease-causing germline mutation(s) (loss of function) in,Assessed
685,GARD:0006637,Hereditary spastic paraplegia,401835,Autosomal recessive spastic paraplegia type 70,HGNC:6898,MARS1,Disease-causing germline mutation(s) in,Assessed
448,GARD:0010418,Hemophilia,169793,Severe hemophilia B,HGNC:3551,F9,Disease-causing germline mutation(s) in,Assessed
391417,GARD:0010716,HSD10 disease,391428,"HSD10 disease, infantile type",HGNC:4800,HSD17B10,Disease-causing germline mutation(s) in,Assessed
748,GARD:0012977,Mendelian susceptibility to mycobacterial diseases,319574,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency,HGNC:5440,IFNGR2,Disease-causing germline mutation(s) in,Assessed
519,GARD:0012757,Acute myeloid leukemia ,329469,Acute megakaryoblastic leukemia without Down syndrome,HGNC:29450,GLIS2,Part of a fusion gene in,Assessed
207015,GARD:0012733,Rare hereditary disease with peripheral neuropathy,309263,"Metachromatic leukodystrophy, juvenile form",HGNC:713,ARSA,Disease-causing germline mutation(s) (loss of function) in,Assessed
655,GARD:0000206,Nephronophthisis,93589,Late-onset nephronophthisis,HGNC:28052,XPNPEP3,Disease-causing germline mutation(s) in,Assessed
209,GARD:0006227,Cutis laxa,357074,"Autosomal recessive cutis laxa type 2, classic type",HGNC:857,ATP6V1E1,Disease-causing germline mutation(s) in,Assessed
506,GARD:0006877,Leigh syndrome,255241,Leigh syndrome with leukodystrophy,HGNC:7711,NDUFS4,Disease-causing germline mutation(s) in,Assessed
305,GARD:0002152,Junctional epidermolysis bullosa,306504,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome,HGNC:6139,ITGA3,Disease-causing germline mutation(s) (loss of function) in,Assessed
1531,GARD:0006209,Craniosynostosis,457193,Autosomal dominant intellectual disability-craniofacial anomalies-cardiac defects syndrome,HGNC:13013,KAT6A,Disease-causing germline mutation(s) in,Assessed
79264,GARD:0005897,Neuronal ceroid lipofuscinosis 3,228346,CLN3 disease,HGNC:2074,CLN3,Disease-causing germline mutation(s) in,Assessed
135,GARD:0000231,Leukoencephalopathy with vanishing white matter,157713,Congenital or early infantile CACH syndrome,HGNC:3259,EIF2B3,Disease-causing germline mutation(s) in,Assessed
2162,GARD:0006665,Holoprosencephaly,280195,Septopreoptic holoprosencephaly,HGNC:11701,TDGF1,Disease-causing germline mutation(s) in,Assessed
3394,GARD:0004898,Soft tissue sarcoma,370334,Extraskeletal Ewing sarcoma,HGNC:11101,SMARCA5,Part of a fusion gene in,Assessed
98277,GARD:0012758,Acute myeloid leukemia with recurrent genetic anomaly,402017,Acute myeloid leukemia with t(9;11)(p22;q23),HGNC:7136,MLLT3,Part of a fusion gene in,Assessed
98261,GARD:0007140,Progressive myoclonic epilepsy,402082,Progressive myoclonic epilepsy type 5,HGNC:9179,POLG,Candidate gene tested in,Assessed
2162,GARD:0006665,Holoprosencephaly,220386,Semilobar holoprosencephaly,HGNC:11701,TDGF1,Disease-causing germline mutation(s) in,Assessed
93969,GARD:0003475,Myelomeningocele,268766,Cervicothoracic spina bifida cystica,HGNC:7432,MTHFD1,Major susceptibility factor in,Assessed
217071,GARD:0008417,Renal cell carcinoma 4,404511,Clear cell papillary renal cell carcinoma,HGNC:11621,HNF1A,Biomarker tested in,Not yet assessed
97245,GARD:0005898,Myopathy congenital,97240,Zebra body myopathy,HGNC:129,ACTA1,Disease-causing germline mutation(s) in,Assessed
88632,GARD:0010025,Anterior segment dysgenesis,98978,Axenfeld anomaly,HGNC:9005,PITX2,Disease-causing germline mutation(s) in,Assessed
702,GARD:0004265,Pelizaeus-Merzbacher disease,280224,"Pelizaeus-Merzbacher disease, transitional form",HGNC:9086,PLP1,Disease-causing germline mutation(s) in,Assessed
79264,GARD:0005897,Neuronal ceroid lipofuscinosis 3,228354,CLN8 disease,HGNC:2079,CLN8,Disease-causing germline mutation(s) in,Assessed
86851,GARD:0008638,Acute leukemia of ambiguous lineage,589534,Mixed phenotype acute leukemia with t(9;22)(q34.1;q11.2),HGNC:7132,KMT2A,Part of a fusion gene in,Assessed
280886,GARD:0010941,Anterior uveitis,85408,Rheumatoid factor-negative polyarticular juvenile idiopathic arthritis,HGNC:1677,CD247,Major susceptibility factor in,Assessed
238468,GARD:0000076,Hypohidrotic ectodermal dysplasia,1810,Autosomal dominant hypohidrotic ectodermal dysplasia,HGNC:12036,TRAF6,Disease-causing germline mutation(s) in,Assessed
2162,GARD:0006665,Holoprosencephaly,93924,Lobar holoprosencephaly,HGNC:11701,TDGF1,Disease-causing germline mutation(s) in,Assessed
823,GARD:0007673,Spina bifida,268397,Cervicothoracic spina bifida aperta,HGNC:7432,MTHFD1,Major susceptibility factor in,Assessed
166,GARD:0006034,Charcot-Marie-Tooth disease,435819,Autosomal dominant Charcot-Marie-Tooth disease type 2 due to TFG mutation,HGNC:11758,TFG,Disease-causing germline mutation(s) (gain of function) in,Assessed
247,GARD:0005847,Arrhythmogenic right ventricular cardiomyopathy,293910,"Familial isolated arrhythmogenic ventricular dysplasia, right dominant form",HGNC:3036,DSC2,Disease-causing germline mutation(s) in,Assessed
309144,GARD:0012510,Gangliosidosis,309246,"GM2 gangliosidosis, AB variant",HGNC:4367,GM2A,Disease-causing germline mutation(s) in,Assessed
2162,GARD:0006665,Holoprosencephaly,280195,Septopreoptic holoprosencephaly,HGNC:2908,DLL1,Disease-causing germline mutation(s) in,Assessed
685,GARD:0006637,Hereditary spastic paraplegia,320406,Spastic paraplegia-optic atrophy-neuropathy syndrome,HGNC:3760,FLRT1,Disease-causing germline mutation(s) in,Assessed
268337,GARD:0012452,Autosomal recessive intermediate Charcot-Marie-Tooth disease ,435998,Autosomal recessive intermediate Charcot-Marie-Tooth disease type D,HGNC:2277,COX6A1,Disease-causing germline mutation(s) (loss of function) in,Assessed
2162,GARD:0006665,Holoprosencephaly,280195,Septopreoptic holoprosencephaly,HGNC:3686,FGF8,Disease-causing germline mutation(s) in,Assessed
137,GARD:0010307,Congenital disorders of glycosylation,370959,Congenital muscular dystrophy with cerebellar involvement,HGNC:26267,POMK,Disease-causing germline mutation(s) (loss of function) in,Assessed
304,GARD:0010752,Epidermolysis bullosa simplex,508529,Intermediate epidermolysis bullosa simplex with cardiomyopathy,HGNC:25947,KLHL24,Disease-causing germline mutation(s) in,Assessed
35656,GARD:0010423,Coenzyme Q10 deficiency,319678,Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome,HGNC:25302,COQ9,Disease-causing germline mutation(s) in,Assessed
207015,GARD:0012733,Rare hereditary disease with peripheral neuropathy,352723,Attenuated Chédiak-Higashi syndrome,HGNC:1968,LYST,Disease-causing germline mutation(s) in,Assessed
64746,GARD:0012431,Charcot-Marie-Tooth disease type 2,447964,Autosomal dominant Charcot-Marie-Tooth disease type 2V,HGNC:7632,NAGLU,Disease-causing germline mutation(s) in,Assessed
98085,GARD:0008538,"46, XY disorders of sexual development",494433,MIRAGE syndrome,HGNC:1348,SAMD9,Disease-causing germline mutation(s) in,Assessed
68356,GARD:0006895,Leukodystrophy,163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,HGNC:11190,SOX10,Disease-causing germline mutation(s) in,Assessed
790,GARD:0007563,Retinoblastoma,357027,Hereditary retinoblastoma,HGNC:7559,MYCN,Candidate gene tested in,Not yet assessed
217071,GARD:0008417,Renal cell carcinoma 4,319308,MiT family translocation renal cell carcinoma,HGNC:11753,TFEB,Part of a fusion gene in,Assessed
182090,GARD:0007501,Pulmonary arterial hypertension,275777,Heritable pulmonary arterial hypertension,HGNC:6278,KCNK3,Disease-causing germline mutation(s) (loss of function) in,Assessed
437,GARD:0006735,Hypophosphatemic rickets,289176,Autosomal recessive hypophosphatemic rickets,HGNC:2932,DMP1,Disease-causing germline mutation(s) in,Assessed
437,GARD:0006735,Hypophosphatemic rickets,89937,Autosomal dominant hypophosphatemic rickets,HGNC:3680,FGF23,Disease-causing germline mutation(s) (gain of function) in,Assessed
98722,GARD:0000802,Atrioventricular septal defect,99068,Complete atrioventricular septal defect-tetralogy of Fallot,HGNC:4173,GATA4,Disease-causing germline mutation(s) in,Assessed
27,GARD:0003586,Methylmalonyl-Coenzyme A mutase deficiency,79312,Vitamin B12-unresponsive methylmalonic acidemia type mut-,HGNC:7526,MMUT,Disease-causing germline mutation(s) (loss of function) in,Assessed
506,GARD:0006877,Leigh syndrome,255241,Leigh syndrome with leukodystrophy,HGNC:28625,NDUFAF6,Disease-causing germline mutation(s) in,Assessed
506,GARD:0006877,Leigh syndrome,255241,Leigh syndrome with leukodystrophy,HGNC:23987,NDUFA12,Disease-causing germline mutation(s) in,Assessed
207015,GARD:0012733,Rare hereditary disease with peripheral neuropathy,70474,Leigh syndrome with cardiomyopathy,HGNC:7703,NDUFB8,Disease-causing germline mutation(s) in,Assessed
157,GARD:0001121,Carnitine palmitoyltransferase 2 deficiency,228308,"Carnitine palmitoyl transferase II deficiency, neonatal form",HGNC:2330,CPT2,Disease-causing germline mutation(s) in,Assessed
207015,GARD:0012733,Rare hereditary disease with peripheral neuropathy,255182,Pyruvate dehydrogenase E3-binding protein deficiency,HGNC:21350,PDHX,Disease-causing germline mutation(s) in,Assessed
823,GARD:0007673,Spina bifida,268770,Upper thoracic spina bifida cystica,HGNC:15511,VANGL2,Major susceptibility factor in,Assessed
68356,GARD:0006895,Leukodystrophy,206448,Adult Krabbe disease,HGNC:4115,GALC,Disease-causing germline mutation(s) in,Assessed
93548,GARD:0012736,Glomerular disease,536,Systemic lupus erythematosus,HGNC:6120,IRF5,Major susceptibility factor in,Assessed
513,GARD:0000522,Acute lymphoblastic leukemia,585877,B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormality,HGNC:11998,TP53,Major susceptibility factor in,Assessed
93969,GARD:0003475,Myelomeningocele,268752,Thoracolumbosacral spina bifida cystica,HGNC:26219,FUZ,Disease-causing germline mutation(s) in,Assessed
250,GARD:0002392,Frontonasal dysplasia,488437,SIX2-related frontonasal dysplasia,HGNC:10888,SIX2,Role in the phenotype of,Assessed
157850,GARD:0006564,Pantothenate kinase-associated neurodegeneration,216873,Atypical pantothenate kinase-associated neurodegeneration,HGNC:15894,PANK2,Disease-causing germline mutation(s) in,Assessed
93442,GARD:0008542,Chondrodysplasia punctata syndrome,468717,Rhizomelic chondrodysplasia punctata type 5,HGNC:9719,PEX5,Disease-causing germline mutation(s) (loss of function) in,Assessed
68356,GARD:0006895,Leukodystrophy,280224,"Pelizaeus-Merzbacher disease, transitional form",HGNC:9086,PLP1,Disease-causing germline mutation(s) in,Assessed
512,GARD:0003230,Metachromatic leukodystrophy,309256,"Metachromatic leukodystrophy, late infantile form",HGNC:713,ARSA,Disease-causing germline mutation(s) (loss of function) in,Assessed
93548,GARD:0012736,Glomerular disease,536,Systemic lupus erythematosus,HGNC:16903,TNIP1,Major susceptibility factor in,Assessed
166,GARD:0006034,Charcot-Marie-Tooth disease,495274,Charcot-Marie-Tooth disease type 2T,HGNC:7154,MME,Disease-causing germline mutation(s) (loss of function) in,Assessed
98634,GARD:0002978,Iridogoniodysgenesis type 1,91483,Rieger anomaly,HGNC:9005,PITX2,Disease-causing germline mutation(s) in,Assessed
513,GARD:0000522,Acute lymphoblastic leukemia,99861,Precursor T-cell acute lymphoblastic leukemia,HGNC:3765,FLT3,Disease-causing somatic mutation(s) in,Assessed
231692,GARD:0003921,Isolated growth hormone deficiency type 3,67045,X-linked intellectual disability with isolated growth hormone deficiency,HGNC:11199,SOX3,Disease-causing germline mutation(s) in,Assessed
823,GARD:0007673,Spina bifida,268392,Cervical spina bifida aperta,HGNC:15511,VANGL2,Major susceptibility factor in,Assessed
137,GARD:0010307,Congenital disorders of glycosylation,263463,CHST3-related skeletal dysplasia,HGNC:1971,CHST3,Disease-causing germline mutation(s) in,Assessed
823,GARD:0007673,Spina bifida,268740,Upper thoracic spina bifida aperta,HGNC:7432,MTHFD1,Major susceptibility factor in,Assessed
88632,GARD:0010025,Anterior segment dysgenesis,782,Axenfeld-Rieger syndrome,HGNC:9005,PITX2,Disease-causing germline mutation(s) (loss of function) in,Assessed
93969,GARD:0003475,Myelomeningocele,268770,Upper thoracic spina bifida cystica,HGNC:15511,VANGL2,Major susceptibility factor in,Assessed
263,GARD:0006907,Limb-girdle muscular dystrophy,476084,BVES-related limb-girdle muscular dystrophy,HGNC:1152,BVES,Disease-causing germline mutation(s) in,Assessed
97242,GARD:0009138,Congenital muscular dystrophy,370959,Congenital muscular dystrophy with cerebellar involvement,HGNC:19743,POMT2,Disease-causing germline mutation(s) in,Assessed
68356,GARD:0006895,Leukodystrophy,363412,Hypomyelination with brain stem and spinal cord involvement and leg spasticity,HGNC:2678,DARS1,Disease-causing germline mutation(s) in,Assessed
443909,GARD:0008533,Familial colorectal cancer,440437,Familial colorectal cancer Type X,HGNC:10729,SEMA4A,Disease-causing germline mutation(s) in,Assessed
85450,GARD:0008282,Amyloidosis familial visceral,93562,AFib amyloidosis,HGNC:3661,FGA,Disease-causing germline mutation(s) in,Assessed
251612,GARD:0009808,Pilocytic astrocytoma,251615,Pilomyxoid astrocytoma,HGNC:6407,KRAS,Disease-causing somatic mutation(s) in,Assessed
309279,GARD:0010670,Glycoproteinosis,93400,Congenital sialidosis type 2,HGNC:7758,NEU1,Disease-causing germline mutation(s) in,Assessed
442,GARD:0001487,Congenital hypothyroidism,95716,Familial thyroid dyshormonogenesis,HGNC:32698,DUOXA2,Disease-causing germline mutation(s) in,Assessed
182090,GARD:0007501,Pulmonary arterial hypertension,275777,Heritable pulmonary arterial hypertension,HGNC:1527,CAV1,Disease-causing germline mutation(s) in,Assessed
823,GARD:0007673,Spina bifida,268758,Lumbosacral spina bifida cystica,HGNC:26219,FUZ,Disease-causing germline mutation(s) in,Assessed
282,GARD:0008436,Frontotemporal dementia,275864,Behavioral variant of frontotemporal dementia,HGNC:22407,TMEM106B,Major susceptibility factor in,Assessed
2162,GARD:0006665,Holoprosencephaly,93924,Lobar holoprosencephaly,HGNC:3688,FGFR1,Candidate gene tested in,Not yet assessed
3033,GARD:0000379,Renal tubular dysgenesis,97369,Renal tubular dysgenesis of genetic origin,HGNC:2707,ACE,Disease-causing germline mutation(s) in,Assessed
166,GARD:0006034,Charcot-Marie-Tooth disease,369867,Autosomal recessive intermediate Charcot-Marie-Tooth disease type C,HGNC:29105,PLEKHG5,Disease-causing germline mutation(s) in,Assessed
655,GARD:0000206,Nephronophthisis,93592,Juvenile nephronophthisis,HGNC:29450,GLIS2,Disease-causing germline mutation(s) (loss of function) in,Assessed
137,GARD:0010307,Congenital disorders of glycosylation,536467,B3GALT6-related spondylodysplastic Ehlers-Danlos syndrome,HGNC:17978,B3GALT6,Disease-causing germline mutation(s) (loss of function) in,Assessed
52,GARD:0000804,Alagille syndrome,261629,Alagille syndrome due to a NOTCH2 point mutation,HGNC:7882,NOTCH2,Disease-causing germline mutation(s) in,Assessed
