@id,OrphaCode,curie,label,genes_Id,genes_curie,genes_source_curie,genes_source_label,genes_gene_symbol,genes_association_type,genes_source_validation,genes_gene_sfdc_id
8726,588,GARD:0000156,Muscle eye brain disease,a0ht000000AYdpfAAD,HGNC:17997,ORPHA:588,,FKRP,Disease-causing germline mutation(s) in,Assessed,
2392,2613,GARD:0000321,Salcedo syndrome,a0ht000000AYdsUAAT,HGNC:6654,ORPHA:2613,,LMX1B,Disease-causing germline mutation(s) in,Assessed,
2752,3063,GARD:0005615,Snyder-Robinson syndrome,a0ht000000AYeExAAL,HGNC:11123,ORPHA:3063,,SMS,Disease-causing germline mutation(s) (loss of function) in,Assessed,
12675,95720,GARD:0008426,Thyroid dysgenesis,,HGNC:12373,ORPHA:95720,,TSHR,Disease-causing germline mutation(s) (loss of function) in,Assessed,
3525,3286,GARD:0004421,Catecholaminergic polymorphic ventricular tachycardia,a0ht000000AYeSBAA1,HGNC:1513,ORPHA:3286,,CASQ2,Disease-causing germline mutation(s) in,Assessed,
16896,139441,GARD:0010917,Hypomyelination with atrophy of basal ganglia and cerebellum,a0ht000000AYfXYAA1,HGNC:20774,ORPHA:139441,,TUBB4A,Disease-causing germline mutation(s) in,Assessed,
21785,324561,GARD:0012384,Cole disease,a0ht000000AYfUrAAL,HGNC:3356,ORPHA:324561,,ENPP1,Disease-causing germline mutation(s) in,Assessed,
63,550,GARD:0007009,Mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes,a0ht000000AYggAAAT,HGNC:7487,ORPHA:550,,MT-TH,Candidate gene tested in,Not yet assessed,
19809,255210,GARD:0003671,Mitochondrial DNA-associated Leigh syndrome,a0ht000000AYgWuAAL,HGNC:7461,ORPHA:255210,,MT-ND5,Disease-causing germline mutation(s) in,Assessed,
967,888,GARD:0008414,Van der Woude syndrome,a0ht000000AYezvAAD,HGNC:25839,ORPHA:888,,GRHL3,Disease-causing germline mutation(s) in,Assessed,
411,56,GARD:0005775,Alkaptonuria,a0ht000000AYeegAAD,HGNC:4892,ORPHA:56,,HGD,Disease-causing germline mutation(s) (loss of function) in,Assessed,
3243,65,GARD:0000634,Leber congenital amaurosis,a0ht000000AYdxZAAT,HGNC:17877,ORPHA:65,,NMNAT1,Disease-causing germline mutation(s) in,Assessed,
889,1934,GARD:0009255,Early Infantile Epileptic Encephalopathy,a0ht000000AYf9XAAT,HGNC:4389,ORPHA:1934,,GNAO1,Disease-causing germline mutation(s) in,Assessed,
12274,93339,GARD:0004417,Preaxial polydactyly type 1,a0ht000000AYeS6AAL,HGNC:4317,ORPHA:93339,,GLI1,Disease-causing germline mutation(s) in,Assessed,
3253,910,GARD:0007910,Xeroderma pigmentosum,a0ht000000AYegkAAD,HGNC:12814,ORPHA:910,,XPA,Disease-causing germline mutation(s) in,Assessed,
11434,79408,GARD:0006308,Severe generalized recessive dystrophic epidermolysis bullosa,a0ht000000AYekBAAT,HGNC:7155,ORPHA:79408,,MMP1,Modifying germline mutation in,Not yet assessed,
12558,94089,GARD:0010680,Pseudohypoparathyroidism type 1B,a0ht000000AYfOaAAL,HGNC:4392,ORPHA:94089,,GNAS,Disease-causing germline mutation(s) in,Assessed,
3762,842,GARD:0004792,Testicular seminoma,a0ht000000AYeW5AAL,HGNC:6342,ORPHA:842,,KIT,Disease-causing somatic mutation(s) in,Assessed,
19809,255210,GARD:0003671,Mitochondrial DNA-associated Leigh syndrome,a0ht000000AYgdeAAD,HGNC:7500,ORPHA:255210,,MT-TV,Disease-causing germline mutation(s) in,Assessed,
14011,98994,GARD:0001159,"Cataract, total congenital",a0ht000000AYe2eAAD,HGNC:2388,ORPHA:98994,,CRYAA,Disease-causing germline mutation(s) in,Assessed,
5534,2686,GARD:0006229,Cyclic neutropenia,a0ht000000AYeHGAA1,HGNC:3309,ORPHA:2686,,ELANE,Disease-causing germline mutation(s) in,Assessed,
1738,1606,GARD:0006082,Chromosome 1p36 deletion syndrome,,HGNC:17575,ORPHA:1606,,SPEN,Role in the phenotype of,Assessed,
1044,242,GARD:0005068,Swyer syndrome,a0ht000000AYeYVAA1,HGNC:1552,ORPHA:242,,CBX2,Disease-causing germline mutation(s) (loss of function) in,Assessed,
631,1020,GARD:0000632,Familial Alzheimer disease,,HGNC:11185,ORPHA:1020,,SORL1,Disease-causing germline mutation(s) in,Assessed,
10750,54260,GARD:0010985,Left ventricular noncompaction,a0ht000000AYfTMAA1,HGNC:143,ORPHA:54260,,ACTC1,Major susceptibility factor in,Assessed,
148,15,GARD:0008173,Achondroplasia,a0ht000000AYexYAAT,HGNC:3690,ORPHA:15,,FGFR3,Disease-causing germline mutation(s) (gain of function) in,Assessed,
3381,851,GARD:0004224,Paris-Trousseau thrombocytopenia,a0ht000000AYeIIAA1,HGNC:3749,ORPHA:851,,FLI1,Role in the phenotype of,Assessed,
8715,119,GARD:0000870,Beta-sarcoglycanopathy,a0ht000000AYeO4AAL,HGNC:10806,ORPHA:119,,SGCB,Disease-causing germline mutation(s) in,Assessed,
19663,251627,GARD:0009953,Oligodendroglioma,a0ht000000AYfJcAAL,HGNC:5383,ORPHA:251627,,IDH2,Biomarker tested in,Assessed,
63,550,GARD:0007009,Mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes,a0ht000000AYeqjAAD,HGNC:7497,ORPHA:550,,MT-TS1,Disease-causing germline mutation(s) in,Assessed,
14011,98994,GARD:0001159,"Cataract, total congenital",,HGNC:16090,ORPHA:98994,,PGRMC1,Disease-causing germline mutation(s) in,Assessed,
11305,79279,GARD:0000116,Schindler disease type 1,a0ht000000AYdowAAD,HGNC:7631,ORPHA:79279,,NAGA,Disease-causing germline mutation(s) in,Assessed,
11074,75374,GARD:0012299,Bradyopsia,a0ht000000AYfbhAAD,HGNC:10004,ORPHA:75374,,RGS9,Disease-causing germline mutation(s) in,Assessed,
14604,100031,GARD:0000645,Amelogenesis imperfecta local hypoplastic,,HGNC:14376,ORPHA:100031,,ACP4,Disease-causing germline mutation(s) (loss of function) in,Assessed,
3233,3206,GARD:0005045,Stuve-Wiedemann syndrome,a0ht000000AYeYFAA1,HGNC:6597,ORPHA:3206,,LIFR,Disease-causing germline mutation(s) (loss of function) in,Assessed,
631,1020,GARD:0000632,Familial Alzheimer disease,a0ht000000AYffzAAD,HGNC:9508,ORPHA:1020,,PSEN1,Disease-causing germline mutation(s) in,Assessed,
8559,520,GARD:0000538,Acute promyelocytic leukemia,a0ht000000AYdw5AAD,HGNC:9864,ORPHA:520,,RARA,Part of a fusion gene in,Assessed,
14510,99937,GARD:0001250,Charcot-Marie-Tooth disease type 2C,a0ht000000AYe42AAD,HGNC:18083,ORPHA:99937,,TRPV4,Disease-causing germline mutation(s) in,Assessed,
783,171,GARD:0001280,Primary sclerosing cholangitis,a0ht000000AYdq1AAD,HGNC:11634,ORPHA:171,,TCF4,Major susceptibility factor in,Assessed,
493,2020,GARD:0006161,Congenital fiber type disproportion,a0ht000000AYgfIAAT,HGNC:9639,ORPHA:2020,,HACD1,Disease-causing germline mutation(s) (loss of function) in,Assessed,
703,117,GARD:0000848,Beh̤et disease,a0ht000000AYdzRAAT,HGNC:19100,ORPHA:117,,IL23R,Major susceptibility factor in,Assessed,
63,550,GARD:0007009,Mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes,a0ht000000AYeqlAAD,HGNC:7481,ORPHA:550,,MT-TF,Disease-causing germline mutation(s) in,Assessed,
236,774,GARD:0006626,Hereditary hemorrhagic telangiectasia,a0ht000000AYemTAAT,HGNC:4217,ORPHA:774,,GDF2,Disease-causing germline mutation(s) in,Assessed,
11349,79323,GARD:0009832,MPDU1-CDG (CDG-If),a0ht000000AYfHUAA1,HGNC:7207,ORPHA:79323,,MPDU1,Disease-causing germline mutation(s) in,Assessed,
22774,399805,GARD:0008530,Spermatogenesis arrest,,HGNC:23044,ORPHA:399805,,NANOS1,Disease-causing germline mutation(s) in,Assessed,
2771,3088,GARD:0004695,Revesz syndrome,a0ht000000AYeIVAA1,HGNC:11824,ORPHA:3088,,TINF2,Disease-causing germline mutation(s) in,Assessed,
631,1020,GARD:0012798,"Early-onset, autosomal dominant Alzheimer disease",,HGNC:9508,ORPHA:1020,,PSEN1,Disease-causing germline mutation(s) in,Assessed,
18905,220393,GARD:0009751,Diffuse cutaneous systemic sclerosis,a0ht000000AYfG9AAL,HGNC:2500,ORPHA:220393,,CCN2,Major susceptibility factor in,Not yet assessed,
506,2140,GARD:0001481,Congenital diaphragmatic hernia,a0ht000000AYdwvAAD,HGNC:4174,ORPHA:2140,,GATA6,Major susceptibility factor in,Assessed,
21997,331206,GARD:0010339,Severe combined immunodeficiency due to complete RAG1/2 deficiency,a0ht000000AYfP3AAL,HGNC:9832,ORPHA:331206,,RAG2,Disease-causing germline mutation(s) in,Assessed,
647,388,GARD:0006660,Hirschsprung disease,,HGNC:3430,ORPHA:388,,ERBB2,Disease-causing germline mutation(s) in,Assessed,
75,614,GARD:0000844,Thomsen and Becker disease,,HGNC:2019,ORPHA:614,,CLCN1,Disease-causing germline mutation(s) (loss of function) in,Assessed,
8747,729,GARD:0007422,Polycythemia vera,a0ht000000AYeu9AAD,HGNC:25941,ORPHA:729,,TET2,Disease-causing somatic mutation(s) in,Assessed,
19809,255210,GARD:0003671,Mitochondrial DNA-associated Leigh syndrome,a0ht000000AYeMbAAL,HGNC:7459,ORPHA:255210,,MT-ND4,Disease-causing germline mutation(s) in,Assessed,
1044,242,GARD:0005068,Swyer syndrome,a0ht000000AYeYWAA1,HGNC:6848,ORPHA:242,,MAP3K1,Disease-causing germline mutation(s) in,Assessed,
63,550,GARD:0007009,Mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes,a0ht000000AYgZWAA1,HGNC:7497,ORPHA:550,,MT-TS1,Disease-causing germline mutation(s) in,Assessed,
63,550,GARD:0007009,Mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes,a0ht000000AYgZOAA1,HGNC:7422,ORPHA:550,,MT-CO3,Candidate gene tested in,Not yet assessed,
22774,399805,GARD:0008530,Spermatogenesis arrest,,HGNC:12829,ORPHA:399805,,XRCC2,Disease-causing germline mutation(s) in,Assessed,
22774,399805,GARD:0008530,Spermatogenesis arrest,,HGNC:19849,ORPHA:399805,,C14ORF39,Disease-causing germline mutation(s) in,Assessed,
1031,569,GARD:0010975,Familial hemiplegic migraine,,HGNC:30500,ORPHA:569,,PRRT2,Disease-causing germline mutation(s) in,Assessed,
10310,33110,GARD:0009640,"Agammaglobulinemia, non-Bruton type",a0ht000000AYfEKAA1,HGNC:14211,ORPHA:33110,,BLNK,Disease-causing germline mutation(s) in,Assessed,
11144,79102,GARD:0010814,Thyrotoxic periodic paralysis,a0h3S0000008JvbQAE,HGNC:4077,ORPHA:79102,,GABRA3,Major susceptibility factor in,Assessed,
3243,65,GARD:0000634,Leber congenital amaurosis,a0ht000000AYdxaAAD,HGNC:19689,ORPHA:65,,RD3,Disease-causing germline mutation(s) in,Assessed,
14722,101011,GARD:0010817,Spastic paraplegia 31,a0ht000000AYf9KAAT,HGNC:25786,ORPHA:101011,,REEP1,Disease-causing germline mutation(s) in,Assessed,
19809,255210,GARD:0003671,Mitochondrial DNA-associated Leigh syndrome,a0ht000000AYeMcAAL,HGNC:7461,ORPHA:255210,,MT-ND5,Disease-causing germline mutation(s) in,Assessed,
542,570,GARD:0008549,Moebius syndrome,a0ht000000AYf2YAAT,HGNC:9107,ORPHA:570,,PLXND1,Disease-causing germline mutation(s) in,Assessed,
3243,65,GARD:0000634,Leber congenital amaurosis,,HGNC:29021,ORPHA:65,,CEP290,Disease-causing germline mutation(s) in,Assessed,
2668,2957,GARD:0004470,"Preaxial deficiency, postaxial polydactyly and hypospadias",a0ht000000AYeJtAAL,HGNC:5102,ORPHA:2957,,HOXA13,Disease-causing germline mutation(s) in,Assessed,
889,1934,GARD:0009255,Early Infantile Epileptic Encephalopathy,,HGNC:4599,ORPHA:1934,,GRM7,Disease-causing germline mutation(s) in,Assessed,
20066,263516,GARD:0002167,Epilepsy progressive myoclonic type 3,a0ht000000AYe0FAAT,HGNC:21957,ORPHA:263516,,KCTD7,Disease-causing germline mutation(s) in,Assessed,
2200,2348,GARD:0003126,Familial partial lipodystrophy type 2,a0ht000000AYdwqAAD,HGNC:6636,ORPHA:2348,,LMNA,Disease-causing germline mutation(s) in,Assessed,
18905,220393,GARD:0009751,Diffuse cutaneous systemic sclerosis,a0ht000000AYghKAAT,HGNC:2500,ORPHA:220393,,CCN2,Major susceptibility factor in,Not yet assessed,
1044,242,GARD:0005068,Swyer syndrome,a0ht000000AYePiAAL,HGNC:12796,ORPHA:242,,WT1,Candidate gene tested in,Not yet assessed,
631,1020,GARD:0012798,"Early-onset, autosomal dominant Alzheimer disease",,HGNC:11185,ORPHA:1020,,SORL1,Disease-causing germline mutation(s) in,Assessed,
2279,561,GARD:0006985,Marshall-Smith syndrome,a0ht000000AYemZAAT,HGNC:7788,ORPHA:561,,NFIX,Disease-causing germline mutation(s) in,Assessed,
63,550,GARD:0007009,Mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes,a0ht000000AYgZPAA1,HGNC:7455,ORPHA:550,,MT-ND1,Disease-causing germline mutation(s) in,Assessed,
10699,52503,GARD:0001608,X-linked creatine deficiency,a0ht000000AYdwRAAT,HGNC:11055,ORPHA:52503,,SLC6A8,Disease-causing germline mutation(s) in,Assessed,
703,117,GARD:0000848,Beh̤et disease,a0ht000000AYdzZAAT,HGNC:49094,ORPHA:117,,IL12A-AS1,Major susceptibility factor in,Assessed,
236,774,GARD:0009901,Hereditary hemorrhagic telangiectasia type 2,a0ht000000AYemQAAT,HGNC:175,ORPHA:774,,ACVRL1,Disease-causing germline mutation(s) in,Assessed,
1198,1946,GARD:0003128,Kohlschutter Tonz syndrome,a0ht000000AYeGHAA1,HGNC:23089,ORPHA:1946,,SLC13A5,Disease-causing germline mutation(s) in,Assessed,
12283,93349,GARD:0004979,Spondyloepimetaphyseal dysplasia X-linked,a0ht000000AYdxxAAD,HGNC:1044,ORPHA:93349,,BGN,Disease-causing germline mutation(s) in,Assessed,
515,2300,GARD:0003013,Intestinal atresia multiple,a0ht000000AYeHEAA1,HGNC:19750,ORPHA:2300,,TTC7A,Disease-causing germline mutation(s) in,Assessed,
18791,216796,GARD:0008694,Osteogenesis imperfecta type I,a0ht000000AYf4cAAD,HGNC:2197,ORPHA:216796,,COL1A1,Disease-causing germline mutation(s) in,Assessed,
18791,216796,GARD:0008694,Osteogenesis imperfecta type I,,HGNC:15455,ORPHA:216796,,MBTPS2,Disease-causing germline mutation(s) (loss of function) in,Assessed,
22199,357043,GARD:0010502,Amyotrophic lateral sclerosis type 4,a0ht000000AYf0KAAT,HGNC:445,ORPHA:357043,,SETX,Disease-causing germline mutation(s) in,Assessed,
959,897,GARD:0005524,Waardenburg syndrome type 4,a0ht000000AYeafAAD,HGNC:11190,ORPHA:897,,SOX10,Disease-causing germline mutation(s) in,Assessed,
2589,2855,GARD:0002542,Perrault syndrome,a0ht000000AYgdAAAT,HGNC:1160,ORPHA:2855,,TWNK,Disease-causing germline mutation(s) in,Assessed,
14757,101046,GARD:0002257,Autosomal dominant partial epilepsy with auditory features,a0ht000000AYdrOAAT,HGNC:6572,ORPHA:101046,,LGI1,Disease-causing germline mutation(s) (loss of function) in,Assessed,
22774,399805,GARD:0008530,Spermatogenesis arrest,,HGNC:18829,ORPHA:399805,,KLHL10,Disease-causing germline mutation(s) in,Assessed,
520,477,GARD:0003113,KID syndrome,a0ht000000AYdzeAAD,HGNC:4288,ORPHA:477,,GJB6,Disease-causing germline mutation(s) in,Assessed,
1031,569,GARD:0010975,Familial hemiplegic migraine,,HGNC:1388,ORPHA:569,,CACNA1A,Disease-causing germline mutation(s) in,Assessed,
631,1020,GARD:0012798,"Early-onset, autosomal dominant Alzheimer disease",a0ht000000AYfHxAAL,HGNC:37,ORPHA:1020,,ABCA7,Candidate gene tested in,Not yet assessed,
8715,119,GARD:0000870,Beta-sarcoglycanopathy,,HGNC:10806,ORPHA:119,,SGCB,Disease-causing germline mutation(s) in,Assessed,
14011,98994,GARD:0001159,"Cataract, total congenital",a0ht000000AYe2mAAD,HGNC:14673,ORPHA:98994,,FYCO1,Disease-causing germline mutation(s) in,Assessed,
14011,98994,GARD:0001159,"Cataract, total congenital",a0ht000000AYe2oAAD,HGNC:2409,ORPHA:98994,,CRYGB,Disease-causing germline mutation(s) in,Assessed,
803,2665,GARD:0001493,Congenital mesoblastic nephroma,a0ht000000AYe1ZAAT,HGNC:8033,ORPHA:2665,,NTRK3,Part of a fusion gene in,Assessed,
10326,33543,GARD:0003117,Kleine Levin syndrome,,HGNC:29011,ORPHA:33543,,TRANK1,Major susceptibility factor in,Assessed,
11109,77297,GARD:0010088,Majeed syndrome,a0ht000000AYfGnAAL,HGNC:14450,ORPHA:77297,,LPIN2,Disease-causing germline mutation(s) in,Assessed,
3474,2849,GARD:0003936,Perlman syndrome,a0ht000000AYePKAA1,HGNC:28648,ORPHA:2849,,DIS3L2,Disease-causing germline mutation(s) in,Assessed,
236,774,GARD:0009902,Hereditary hemorrhagic telangiectasia type 3,,HGNC:3349,ORPHA:774,,ENG,Disease-causing germline mutation(s) in,Assessed,
243,201,GARD:0006202,Cowden syndrome,a0ht000000AYeiyAAD,HGNC:10681,ORPHA:201,,SDHB,Disease-causing germline mutation(s) in,Assessed,
8726,588,GARD:0000156,Muscle eye brain disease,a0ht000000AYdphAAD,HGNC:22932,ORPHA:588,,GMPPB,Disease-causing germline mutation(s) in,Assessed,
18791,216796,GARD:0008694,Osteogenesis imperfecta type I,,HGNC:8548,ORPHA:216796,,P4HB,Disease-causing germline mutation(s) in,Assessed,
3360,941,GARD:0000234,D-glycericacidemia,a0ht000000AYdr6AAD,HGNC:24247,ORPHA:941,,GLYCTK,Disease-causing germline mutation(s) in,Assessed,
1610,1410,GARD:0005404,Uncombable hair syndrome,a0ht000000AYe4LAAT,HGNC:11779,ORPHA:1410,,TGM3,Disease-causing germline mutation(s) (loss of function) in,Assessed,
10933,69665,GARD:0009804,Intrahepatic cholestasis of pregnancy,a0ht000000AYf9hAAD,HGNC:7967,ORPHA:69665,,NR1H4,Candidate gene tested in,Not yet assessed,
11144,79102,GARD:0010814,Thyrotoxic periodic paralysis,a0ht000000AYfWcAAL,HGNC:4077,ORPHA:79102,,GABRA3,Major susceptibility factor in,Assessed,
1844,1873,GARD:0001463,Cone-rod dystrophy amelogenesis imperfecta,a0ht000000AYe5tAAD,HGNC:105,ORPHA:1873,,CNNM4,Disease-causing germline mutation(s) (loss of function) in,Assessed,
3041,3459,GARD:0005579,Wilson-Turner syndrome,a0ht000000AYeauAAD,HGNC:13315,ORPHA:3459,,HDAC8,Disease-causing germline mutation(s) (loss of function) in,Assessed,
8620,2908,GARD:0004391,Kindler syndrome,a0ht000000AYeJ3AAL,HGNC:15889,ORPHA:2908,,FERMT1,Disease-causing germline mutation(s) (loss of function) in,Assessed,
2322,2510,GARD:0005534,Micro syndrome,a0ht000000AYeajAAD,HGNC:17063,ORPHA:2510,,RAB3GAP1,Disease-causing germline mutation(s) (loss of function) in,Assessed,
18976,225123,GARD:0010093,Hemochromatosis type 3,a0ht000000AYfIGAA1,HGNC:11762,ORPHA:225123,,TFR2,Disease-causing germline mutation(s) (loss of function) in,Assessed,
553,2746,GARD:0004098,Opsismodysplasia,a0ht000000AYeIEAA1,HGNC:6080,ORPHA:2746,,INPPL1,Disease-causing germline mutation(s) in,Assessed,
17948,171876,GARD:0004552,Autosomal recessive pseudohypoaldosteronism type 1,a0ht000000AYeU7AAL,HGNC:10602,ORPHA:171876,,SCNN1G,Disease-causing germline mutation(s) (loss of function) in,Assessed,
408,963,GARD:0005725,Acromegaly,a0ht000000AYeSpAAL,HGNC:14963,ORPHA:963,,GPR101,Major susceptibility factor in,Assessed,
647,388,GARD:0006660,Hirschsprung disease,a0ht000000AYemtAAD,HGNC:10725,ORPHA:388,,SEMA3C,Major susceptibility factor in,Assessed,
556,2801,GARD:0002831,Juvenile Paget disease,a0ht000000AYeFjAAL,HGNC:11908,ORPHA:2801,,TNFRSF11A,Candidate gene tested in,Not yet assessed,
17833,169186,GARD:0012718,Autosomal recessive centronuclear myopathy,a0ht000000AYffPAAT,HGNC:10483,ORPHA:169186,,RYR1,Disease-causing germline mutation(s) in,Assessed,
1754,1667,GARD:0005589,Epiphyseal dysplasia multiple with early-onset diabetes mellitus,a0ht000000AYeazAAD,HGNC:3255,ORPHA:1667,,EIF2AK3,Disease-causing germline mutation(s) in,Assessed,
1738,1606,GARD:0006082,Chromosome 1p36 deletion syndrome,,HGNC:7171,ORPHA:1606,,MMP23B,Role in the phenotype of,Assessed,
3525,3286,GARD:0004421,Catecholaminergic polymorphic ventricular tachycardia,a0ht000000AYeSFAA1,HGNC:1445,ORPHA:3286,,CALM2,Candidate gene tested in,Not yet assessed,
13960,98943,GARD:0001433,Coloboma of eye lens,a0ht000000AYe5SAAT,HGNC:4043,ORPHA:98943,,FZD5,Disease-causing germline mutation(s) (gain of function) in,Assessed,
2715,3019,GARD:0007523,Ramon Syndrome,a0ht000000AYegOAAT,HGNC:17233,ORPHA:3019,,ELMO2,Disease-causing germline mutation(s) in,Assessed,
22774,399805,GARD:0008530,Spermatogenesis arrest,,HGNC:28569,ORPHA:399805,,MEIOB,Disease-causing germline mutation(s) in,Assessed,
236,774,GARD:0009901,Hereditary hemorrhagic telangiectasia type 2,a0ht000000AYemRAAT,HGNC:6770,ORPHA:774,,SMAD4,Disease-causing germline mutation(s) in,Assessed,
14011,98994,GARD:0001159,"Cataract, total congenital",a0ht000000AYe2tAAD,HGNC:23801,ORPHA:98994,,SIPA1L3,Disease-causing germline mutation(s) in,Assessed,
15,366,GARD:0009442,Glycogen storage disease type 3,a0ht000000AYfAnAAL,HGNC:321,ORPHA:366,,AGL,Disease-causing germline mutation(s) in,Assessed,
12287,93356,GARD:0010618,Spondyloepimetaphyseal dysplasia Missouri type,a0ht000000AYfQ2AAL,HGNC:7159,ORPHA:93356,,MMP13,Disease-causing germline mutation(s) in,Assessed,
8726,588,GARD:0000156,Muscle eye brain disease,a0ht000000AYgcHAAT,HGNC:6511,ORPHA:588,,LARGE1,Candidate gene tested in,Not yet assessed,
3525,3286,GARD:0004421,Catecholaminergic polymorphic ventricular tachycardia,a0ht000000AYeSGAA1,HGNC:1449,ORPHA:3286,,CALM3,Candidate gene tested in,Not yet assessed,
703,117,GARD:0000848,Beh̤et disease,a0ht000000AYdzVAAT,HGNC:5969,ORPHA:117,,IL12A,Major susceptibility factor in,Assessed,
19809,255210,GARD:0003671,Mitochondrial DNA-associated Leigh syndrome,a0ht000000AYeMaAAL,HGNC:7458,ORPHA:255210,,MT-ND3,Disease-causing germline mutation(s) in,Assessed,
1923,1980,GARD:0006406,Primary Familial Brain Calcification,,HGNC:19918,ORPHA:1980,,MYORG,Disease-causing germline mutation(s) in,Assessed,
889,1934,GARD:0009255,Early Infantile Epileptic Encephalopathy,a0ht000000AYf9ZAAT,HGNC:11142,ORPHA:1934,,SIK1,Disease-causing germline mutation(s) in,Assessed,
13906,98889,GARD:0006011,Bilateral perisylvian polymicrogyria,a0ht000000AYgf7AAD,HGNC:4512,ORPHA:98889,,ADGRG1,Disease-causing germline mutation(s) in,Assessed,
8559,520,GARD:0000538,Acute promyelocytic leukemia,a0ht000000AYdwFAAT,HGNC:20893,ORPHA:520,,BCOR,Part of a fusion gene in,Assessed,
10750,54260,GARD:0010985,Left ventricular noncompaction,a0ht000000AYfYiAAL,HGNC:21086,ORPHA:54260,,MIB1,Disease-causing germline mutation(s) (loss of function) in,Assessed,
10805,60040,GARD:0006950,Megalencephaly-capillary malformation syndrome,a0ht000000AYepuAAD,HGNC:8975,ORPHA:60040,,PIK3CA,Disease-causing somatic mutation(s) in,Assessed,
631,1020,GARD:0012798,"Early-onset, autosomal dominant Alzheimer disease",a0ht000000AYffzAAD,HGNC:9508,ORPHA:1020,,PSEN1,Disease-causing germline mutation(s) in,Assessed,
647,388,GARD:0006660,Hirschsprung disease,,HGNC:869,ORPHA:388,,ATP7A,Disease-causing germline mutation(s) in,Assessed,
